Tweetidnumber,numimagesboth,tweetertype,tweeterteases,mention,numimgfem,numimgneither,numimgmuscular,numimgskinny,numimgbutt,numimgthigh,numimgarm,numimgneck,numimgtorso,numimgwaist,numimgbody,numimghealthyfood,imgfocuselse,imgfocusbody,imgfocusfood,webtopicelse,webtopicpa,webtopichealtyeat,webtopicdiet,webbroken,web,imagevid,medtype,hashtagonly,english,relevant,promotional,mentionmeds,mentioneatless,mentioneathealthy,mentionexercise,mentionstrength,mentionloseweight,mentionbinge,mentionvomit,mentionwantbody,mentionnone,mentiondisorder,noimage,webtopicmeds,numimgcandy,numimgcombo,numimgmale,numimgcanttell,name1,RT,likes,replies,Followed,Followers,Tweets,Favorites,thinspo,fitspo,thinfit,binumimagesboth,binumimgfem,binumimgarm,binumimgneither,binumimgmuscular,binumimgskinny,binumimgbutt,binumimgthigh,binumimgneck,binumimgtorso,binumimgwaist,binumimgbody,binumimghealthyfood,binumimgcandy,binumimgcombo,binumimgmale,binumimgcanttell
24391,0,organization or person representing an organization,No,1,1,1,0,0,0,0,1,1,0,0,0,NA,No,A body or parts of a body,NA,Something else,Physical activity,No,No,NA,A web page,Image(s) or video(s),NA,No,Yes,Yes,Yes,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,0,0,176,1,2,0,485,2191,55498,20,0,1,fitspo,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,NA,NA,NA,No,No
35425,0,person representing personal views,No,0,1,0,1,0,0,0,0,0,0,1,0,NA,No,A body or parts of a body,NA,No,Physical activity,No,Dieting,NA,A web page,Image(s) or video(s),NA,No,Yes,Yes,Yes,No,No,No,Exercising harder/more often,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,255,0,1,0,NA,NA,NA,NA,0,1,fitspo,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,NA,NA,NA,No,No
35462,0,organization or person representing an organization,No,0,1,0,1,0,0,0,0,0,0,0,1,NA,No,A body or parts of a body,NA,No,Physical activity,No,No,NA,A web page,Image(s) or video(s),NA,No,Yes,Yes,Yes,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,0,0,198,0,2,1,NA,NA,NA,NA,0,1,fitspo,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,NA,NA,NA,No,No
8347,NA,organization or person representing an organization,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Physical activity,No,No,NA,A web page,No,NA,No,Yes,Yes,No,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,219,0,0,0,234,826,578,25,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56605,0,organization or person representing an organization,No,0,1,0,0,1,0,0,0,0,0,0,1,NA,No,A body or parts of a body,NA,Something else,Physical activity,No,No,NA,A web page,Image(s) or video(s),NA,No,Yes,Yes,Yes,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,0,0,73,0,0,0,102,125,3247,0,0,1,fitspo,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,NA,NA,NA,No,No
59439,NA,organization or person representing an organization,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Physical activity,No,No,NA,A web page,No,NA,No,Yes,Yes,Yes,No,No,No,Exercising harder/more often,Gaining strength and/or muscle mass/definition,No,No,No,"Wanting a body feature to look a specific way (must identify a specific body part, such as wanting smaller thighs, etc)",No,No,NA,NA,NA,NA,NA,NA,484,0,2,0,269,273,1781,340,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54947,NA,person representing personal views,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Something else,NA,NA,No,Physical activity,Healthy eating,No,NA,A web page,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,486,0,0,0,119,406,15616,2,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49645,NA,organization or person representing an organization,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Something else,NA,NA,No,Physical activity,No,No,NA,A web page,Image(s) or video(s),NA,No,Yes,Yes,Yes,No,No,No,Exercising harder/more often,Gaining strength and/or muscle mass/definition,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,488,0,0,0,3,9,71,17,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21836,NA,NA,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,Exercising harder/more often,NA,NA,NA,NA,NA,NA,NA,Not applicable (does not show or link to image or web page),NA,NA,NA,NA,NA,263,2231,4196,16,246,12154,7386,795,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,0,person representing personal views,No,1,8,0,0,8,0,2,1,0,1,3,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,"Wanting a body feature to look a specific way (must identify a specific body part, such as wanting smaller thighs, etc)",No,No,NA,NA,NA,NA,0,0,90,282,315,5,1938,1615,685,651,1,0,thinspo,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,NA,NA,NA,No,No
